"Query","Label"
"Заголовок статьи","Нерелевантный запрос"
"Подписание контракта после отказа от заключения со стороны заказчика","Вопросы по базе знаний"
"Участие в котировочной сессии","Вопросы по базе знаний"
"Страница контракта организации","Вопросы по базе знаний"
"Определение победителя и заключение контракта с победителем закупки с неизвестным объемом","Вопросы по базе знаний"
"Создание и публикация закупки с неизвестным объемом (по цене за единицу продукции)","Вопросы по базе знаний"
"Настройка MS Word перед работой","Вопросы по базе знаний"
"Новая версия опубликованного шаблона","Вопросы по базе знаний"
"Утверждение заявки на регистрацию новой организации","Вопросы по базе знаний"
"Разблокировка пользователя","Техническая поддержка"
"Уведомления о наступающих сроках исполнения этапа","Вопросы по базе знаний"
"Как заполнить раздел «Статистические коды» при подаче заявки на регистрацию компании?","Вопросы по базе знаний"
"При подаче заявки на регистрацию компании возникает ошибка «Не заполнены поля «Банковский идентификационный код» и «Расчетный счет»","Техническая поддержка"
"Уведомление «Есть ограничения»","Техническая поддержка"
"Где можно найти виджеты Портала поставщиков?","Вопросы по базе знаний"
"Как присоединиться к тематической странице/группе в социальной сети о Портале поставщиков?","Вопросы по базе знаний"
"Перевод страницы Портала поставщиков на иностранный язык","Вопросы по базе знаний"
"Как добавить характеристики, если их нет в выпадающем списке","Вопросы по базе знаний"
"Отображение оферты","Вопросы по базе знаний"
"Удаление оферты","Вопросы по базе знаний"
"Статус оферты ""Ввод сведений""","Вопросы по базе знаний"
"Архивирование оферты","Вопросы по базе знаний"
"Ошибка сохранения СТЕ ""Не заполнены обязательные характеристики: ...""","Техническая поддержка"
"Как изменить единицу измерения в оферте","Вопросы по базе знаний"
"При создании оферты ошибка ""СТЕ находится в архиве""","Техническая поддержка"
"Внесение изменений в оферту","Вопросы по базе знаний"
"Как выбрать категорию продукции?","Вопросы по базе знаний"
"Как найти заявку СТЕ?","Вопросы по базе знаний"
"Отображение оферт по результатам Котировочной сессии в открытом доступе","Вопросы по базе знаний"
"Типы характеристик и как их заполнять?","Вопросы по базе знаний"
"Заявка в статусе ""Черновик"", сколько ждать рассмотрения заявки?","Вопросы по базе знаний"
"Как на Портале поставщиков пользователю ознакомиться с карточкой поставщика/ карточкой заказчика своей организации?","Вопросы по базе знаний"
"Как на Портале поставщиков ознакомиться с информацией по регионам?","Вопросы по базе знаний"
"Оферта в статусе ""Ввод сведений"" после заявки на СТЕ","Вопросы по базе знаний"
"В нашей оферте отображается, что по ней заключены контракты, но у нас контрактов нет","Техническая поддержка"
"Действия после отправки заявки на добавление СТЕ","Вопросы по базе знаний"
"При каких условиях в оферте возможна прямая закупка?","Вопросы по базе знаний"
"Как определяется срок действия оферты?","Вопросы по базе знаний"
"Единица измерения СТЕ","Вопросы по базе знаний"
"В каком формате загружать прайс-листы?","Вопросы по базе знаний"
"Ошибка загрузки файла YML","Техническая поддержка"
"Как указать срок доставки в файле YML?","Вопросы по базе знаний"
"""Ошибка формата"" при загрузке прайс-листа","Техническая поддержка"
"Требования к изображению в прайс-листе","Вопросы по базе знаний"
"Что такое ""Количественные характеристики""?","Вопросы по базе знаний"
"Что такое ""Качественные характеристики""?","Вопросы по базе знаний"
"Как указать единицу измерения, если её нет в списке?","Вопросы по базе знаний"
"Как массово загрузить оферты?","Вопросы по базе знаний"
"Способы создания оферт и СТЕ","Вопросы по базе знаний"
"Заявка СТЕ утверждена, оферта отсутствует в ""Управление офертами""","Техническая поддержка"
"Ошибка ""Некорректное наименование файла""","Техническая поддержка"
"Нет нужной категории продукции на Портале Поставщиков","Техническая поддержка"
"Как поменять КПГЗ в стандартной товарной единице (СТЕ)?","Вопросы по базе знаний"
"Как изменить/продлить срок действия оферты?","Вопросы по базе знаний"
"Какие полномочия должны быть присвоены пользователю для подачи заявки на изменение данных компании на Портале поставщиков?","Вопросы по базе знаний"
"В оферте отображается КПГЗ отличный от СТЕ","Техническая поддержка"
"Не получается редактировать оферту, созданную по результатам котировочной сессии","Техническая поддержка"
"Отсутствует кнопка ""Опубликовать предложение""","Техническая поддержка"
"В оферте отсутствует ОКПД2","Техническая поддержка"
"Как поменять ОКПД2 в оферте?","Вопросы по базе знаний"
"Как скопировать оферту?","Вопросы по базе знаний"
"Нет кнопки ""Прикрепить файл"" в оферте","Техническая поддержка"
"Сколько характеристик нужно для СТЕ?","Вопросы по базе знаний"
"Что такое ""Артикул"" в оферте?","Вопросы по базе знаний"
"Что такое шаблон СТЕ?","Вопросы по базе знаний"
"Не можем создать оферту, нет кнопки","Техническая поддержка"
"Заявка на регистрацию компании/ изменение данных компании находится в статусе «Черновик»","Вопросы по базе знаний"
"Заявка на регистрацию компании/ изменение данных компании находится в статусе «Требуется уточнение»","Вопросы по базе знаний"
"Заявка на регистрацию регионального заказчика на Портале поставщиков рассматривается более суток","Техническая поддержка"
"Единицы измерения при формировании оферты","Вопросы по базе знаний"
"Несколько услуг по одной оферте, комплексная оферта","Вопросы по базе знаний"
"При создании СТЕ отсутствует поле ""Описание""","Техническая поддержка"
"При создании СТЕ в поле ""Регион поставки"" не отображается нужный город/населенный пункт","Техническая поддержка"
"Заявка в статусе ""Редактирование"", сколько ждать рассмотрения заявки","Вопросы по базе знаний"
"Как изменить ФЗ (закон-основание) в оферте?","Вопросы по базе знаний"
"Где взять артикул","Вопросы по базе знаний"
"Заказчик не видит оферту, созданную по результатам котировочной сессии","Техническая поддержка"
"Ошибка при подписании оферты (Ошибка инициализации объекта хэша)","Техническая поддержка"
"Ошибка при подписания оферты (ошибка вычисления подписи)","Техническая поддержка"
"Как указать НДС, если мы работаем без НДС","Вопросы по базе знаний"
"Сколько оферт можно подписать за один раз","Вопросы по базе знаний"
"Возможно ли массовое подписание оферт на Портале Поставщиков?","Вопросы по базе знаний"
"Как вернуть оферту из архива?","Вопросы по базе знаний"
"СТЕ подтверждена, а у оферты номер не появился","Техническая поддержка"
"Какое полномочие должно быть присвоено пользователю для работы на Портале поставщиков в качестве Уполномоченного органа ?","Вопросы по базе знаний"
"Как пользователю присвоить полномочие «Региональный администратор» для работы на Портале поставщиков в качестве Уполномоченного органа?","Вопросы по базе знаний"
"Как присвоить полномочия пользователю компании в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как ознакомиться со статистикой региона профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как утвердить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как отклонить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"При отправке заявки на регистрацию компании в роли заказчика на Портале поставщиков возникает ошибка: «ИНН компании на регистрацию не совпадает с ИНН из ЭЦП»","Техническая поддержка"
"Как создать карточку новой компании на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как создать карточку нового пользователя на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как заблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как разблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как посмотреть историю блокировок компании на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как заблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как разблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Как посмотреть историю блокировок пользователя компании на Портале поставщиков в профиле Уполномоченного органа?","Вопросы по базе знаний"
"Кто является Уполномоченным органом по нашему региону?","Вопросы по базе знаний"
"Кто рассматривает заявки на регистрацию региональных заказчиков на Портале поставщиков?","Вопросы по базе знаний"
"Как объединить профили организации?","Вопросы по базе знаний"
"Какие существуют требования к поставляем товарам/работам/услугам?","Вопросы по базе знаний"
"Как перенести пользователя из одного профиля в другой?","Вопросы по базе знаний"
"Контракт подписан, но в региональной системе его не видно","Техническая поддержка"
"Ошибка загрузки файла YML","Техническая поддержка"
"В нашей оферте отображается, что по ней заключены контракты, но у нас контрактов нет","Техническая поддержка"
"Расторжение контракта","Вопросы по базе знаний"
"Что значит уведомление ""Права ограничены""?","Техническая поддержка"
"Не могу редактировать оферту по КС","Техническая поддержка"
"Отображение оферты по результатам котировочной сессии для Заказчика","Вопросы по базе знаний"
"Кто может быть поставщиком на Портале поставщиков?","Вопросы по базе знаний"
"Как войти на Портал поставщиков после смены владельца сертификата электронной подписи?","Вопросы по базе знаний"
"Что делать московскому заказчику, если в ЕАИСТ котировочная сессия отменена, а на Портале поставщиков активна?","Вопросы по базе знаний"
"Не могу скачать документ контракта/не могу скачать документ контракта с подписью","Техническая поддержка"
"Как изменить тип компании?","Вопросы по базе знаний"
"Как прикрепить электронную подпись?","Вопросы по базе знаний"
"Массовое архивирование оферт","Вопросы по базе знаний"
"Видео","Нерелевантный запрос"
"Личный кабинет компании","Вопросы по базе знаний"
"Термины и сокращения","Вопросы по базе знаний"
"Вход на главную страницу портала","Вопросы по базе знаний"
"Товары и оферты","Вопросы по базе знаний"
"Отправлено приглашение Заказчику по установки связи по ЭДО","Вопросы по базе знаний"
"Заказчику не приходит УПД","Техническая поддержка"
"Отправлено приглашение Заказчику, ошибка: ""заказчик не в ЭДО""","Техническая поддержка"
"Просмотр и выгрузка документов контракта","Вопросы по базе знаний"
"Отказ в подписании контракта","Вопросы по базе знаний"
"Надо ли регистрироваться в ЭДО на каждом контракте?","Вопросы по базе знаний"
"Как сформировать счет при электронном документообороте","Вопросы по базе знаний"
"Наименования товара в исполнении контракта не соответствуют наименованиям в котировочной сессии","Техническая поддержка"
"Не добавляется исполнение","Техническая поддержка"
"Когда работа Поставщика с контрактом закончена? Cтатус контракта исполнен, документы не подгружены, cвязь с заказчиком отклонена/в процессе","Вопросы по базе знаний"
"Заказчик просит выслать УПД повторно","Вопросы по базе знаний"
"Карта сайта","Нерелевантный запрос"
"Главная страница Портала Поставщиков на других языках","Вопросы по базе знаний"
"Страница исполнения контракта (Этап поставки)","Вопросы по базе знаний"
"Уведомления о наступающих сроках исполнения этапа","Вопросы по базе знаний"
"Необходимые действия при сбое в работе Подсистемы","Техническая поддержка"
"Несанкционированное вмешательство в Подсистему","Техническая поддержка"
"Мои оферты","Вопросы по базе знаний"
"Поиск оферт по СТЕ","Вопросы по базе знаний"
"Создание оферты","Вопросы по базе знаний"
"Обновление прайс-листов","Вопросы по базе знаний"
"Формирование протокола разногласий","Вопросы по базе знаний"
"Автоматическая блокировка поставщиков. Сроки и основания","Вопросы по базе знаний"
"Реестр жалоб поставщика при автоматической блокировке","Вопросы по базе знаний"
"Заполнение формы жалобы о необоснованной блокировке","Вопросы по базе знаний"
"Просмотр жалобы о необоснованной блокировке","Вопросы по базе знаний"
"Регистрация жалобы Арбитражной комиссией","Вопросы по базе знаний"
"Запрос дополнительной информации по жалобе о необоснованной блокировке поставщика","Вопросы по базе знаний"
"Проверка записи в реестре недобросовестных поставщиков (подрядчиков, исполнителей)","Вопросы по базе знаний"
"Способы формирования YML прайс-листа","Вопросы по базе знаний"
"Основные блоки, которые должен содержать YML прайс-лист","Вопросы по базе знаний"
"Пример YML-формата для массовой загрузки прайс-листов","Вопросы по базе знаний"
"Описание типов данных, используемых при определении полей документов","Вопросы по базе знаний"
"Вопросы и ответы","Нерелевантный запрос"
"Публикация котировочной сессии","Вопросы по базе знаний"
"Мои котировочные сессии","Вопросы по базе знаний"
"Создание и публикация закупки по потребностям","Вопросы по базе знаний"
"Публикация потребности с помощью сервиса интеграционного взаимодействия","Вопросы по базе знаний"
"Отмена и удаление закупки по потребности","Вопросы по базе знаний"
"Закупка с неизвестным объемом (по цене за единицу продукции)","Вопросы по базе знаний"
"Настройка MS Word перед работой","Вопросы по базе знаний"
"Способы создания оферт и СТЕ","Вопросы по базе знаний"
"Публичная страница контракта","Вопросы по базе знаний"
"Завершение котировочной сессии","Вопросы по базе знаний"
"Подача предложений для опубликованной закупки по потребности","Вопросы по базе знаний"
"Удаление поданного предложения","Вопросы по базе знаний"
"Раздел ""Полученные заявки"" на прямую закупку","Вопросы по базе знаний"
"Отправка ответа по заявке на прямую закупку","Вопросы по базе знаний"
"Страница плана-графика закупок","Вопросы по базе знаний"
"Страница плана закупок","Вопросы по базе знаний"
"Подключение электронной подписи","Вопросы по базе знаний"
"Исполнение контракта","Вопросы по базе знаний"
"Расторжение контракта","Вопросы по базе знаний"
"Страница оферты","Вопросы по базе знаний"
"Регистрация в качестве физического лица","Вопросы по базе знаний"
"Участие поставщика в котировочной сессии","Вопросы по базе знаний"
"Знакомство с Порталом поставщиков","Вопросы по базе знаний"
"Элементы интерфейса и условные обозначения","Вопросы по базе знаний"
"История блокировок организации","Вопросы по базе знаний"
"Категории и права пользователей","Вопросы по базе знаний"
"Разблокировка организации","Техническая поддержка"
"Блокировка организации","Техническая поддержка"
"Назначение ролей пользователю организации","Вопросы по базе знаний"
"История блокировок пользователя","Вопросы по базе знаний"
"Блокировка пользователя организации","Техническая поддержка"
"Описание общего процесса функционирования портала","Вопросы по базе знаний"
"Назначение подсистемы и краткое описание возможностей","Вопросы по базе знаний"
"История изменения ролей","Вопросы по базе знаний"
"Аварийные ситуации","Техническая поддержка"
"Создание обращения в службу технической поддержки","Вопросы по базе знаний"
"Создание новой организации","Вопросы по базе знаний"
"Панель управления пользователя","Вопросы по базе знаний"
"Регистрация Уполномоченного органа на Портала поставщиков","Вопросы по базе знаний"
"Раздел ""Уведомления""","Вопросы по базе знаний"
"Центр поддержки пользователей","Вопросы по базе знаний"
"Информационный блок «Как стать поставщиком»","Вопросы по базе знаний"
"Как найти каталог товаров (СТЕ)?","Вопросы по базе знаний"
"Карточки закупок в едином реестре","Вопросы по базе знаний"
"Управление рассылками","Вопросы по базе знаний"
"Подтверждение уведомления о регистрации исполнения в ЭДО","Вопросы по базе знаний"
"Профиль пользователя","Вопросы по базе знаний"
"Добавление и блокировка пользователей организации","Вопросы по базе знаний"
"Подписание контракта","Вопросы по базе знаний"
"Работа с задачами","Вопросы по базе знаний"
"Работа с уведомлениями","Вопросы по базе знаний"
"Требования к ссылкам и изображениям","Вопросы по базе знаний"
"Требования к изображениям","Вопросы по базе знаний"
"Требования к YML-файлу и способы формирования YML прайс-листа","Вопросы по базе знаний"
"Структура YML файла, его основные блоки","Вопросы по базе знаний"
"Элемент categories","Вопросы по базе знаний"
"Элемент offers","Вопросы по базе знаний"
"Элемент delivery-options","Вопросы по базе знаний"
"Элемент picture","Вопросы по базе знаний"
"Элемент param","Вопросы по базе знаний"
"XSD-схема для массовой загрузки оферт","Вопросы по базе знаний"
"Формирование XSD-схемы","Вопросы по базе знаний"
"Описание типов данных, используемых при определении полей документов","Вопросы по базе знаний"
"Справочники Портала поставщиков","Вопросы по базе знаний"
"Состав элемента, входящего в shop","Вопросы по базе знаний"
"Элемент currencies","Вопросы по базе знаний"
"Загрузка прайс-листа в Портал поставщиков","Вопросы по базе знаний"
"Публикация шаблона","Вопросы по базе знаний"
"Редактирование шаблона, удаление шаблона","Вопросы по базе знаний"
"Настройка MS Word перед работой","Вопросы по базе знаний"
"Поиск шаблонов","Вопросы по базе знаний"
"Новая версия опубликованного шаблона","Вопросы по базе знаний"
"Отправка шаблона в архив","Вопросы по базе знаний"
"Создание нового шаблона","Вопросы по базе знаний"
"Поиск шаблонов","Вопросы по базе знаний"
"Загрузка документа","Вопросы по базе знаний"
"Подготовка шаблона документа","Вопросы по базе знаний"
"Подготовка шаблона документа в MS Word","Вопросы по базе знаний"
"Загрузка шаблона документа","Вопросы по базе знаний"
"Проверка шаблона","Вопросы по базе знаний"
"Ограничения по способам закупок на отдельные виды товаров, работ, услуг","Вопросы по базе знаний"
"Публикация закупки от имени Заказчика Уполномоченным органом","Вопросы по базе знаний"
"Массовое удаление или отправка в архив оферт","Вопросы по базе знаний"
"Прикрепление проекта контракта к одной или нескольким офертам","Вопросы по базе знаний"
"Регистрация и формирование документов","Вопросы по базе знаний"
"Проверка записи в реестре недобросовестных поставщиков (подрядчиков, исполнителей)","Вопросы по базе знаний"
"Заполнение формы жалобы о необоснованной блокировке","Вопросы по базе знаний"
"Получение решения арбитражной комиссии по жалобе","Вопросы по базе знаний"
"Страница закупки по потребностям","Вопросы по базе знаний"
"Создание и публикация оферты по результатам котировочной сессии","Вопросы по базе знаний"
"Создание нового пользователя организации","Вопросы по базе знаний"
"Профиль компании","Вопросы по базе знаний"
"Заявка на изменение сведений о компании","Вопросы по базе знаний"
"Просмотр и поиск документов в разделе ""Мои документы""","Вопросы по базе знаний"
"Каталог товаров (СТЕ)","Вопросы по базе знаний"
"Предложения","Вопросы по базе знаний"
"Создание заявки на прямую закупку","Вопросы по базе знаний"
"Выгрузка протокола по потребности","Вопросы по базе знаний"
"Раздел ""Мои заявки""","Вопросы по базе знаний"
"В каких случаях право может перейти следующему за победителем участнику котировочной сессии","Вопросы по базе знаний"
"Добавление файла с техническим заданием в карточку котировочной сессии","Вопросы по базе знаний"
"При формировании или обновлении УПД появляется сообщение об ошибке","Техническая поддержка"
"Каталог товаров (СТЕ)","Вопросы по базе знаний"
"Раздел ""Моя корзина""","Вопросы по базе знаний"
"Регистрация контракта на бумажном носителе","Вопросы по базе знаний"
"Определение победителя в котировочной сессии","Вопросы по базе знаний"
"Единый реестр закупок","Вопросы по базе знаний"
"Поиск закупок в едином реестре","Вопросы по базе знаний"
"Как посмотреть закупки, размещенные на ЕИС?","Вопросы по базе знаний"
"Интерактивная карта регионов","Вопросы по базе знаний"
"Подписки на закупки","Вопросы по базе знаний"
"Карта сайта","Нерелевантный запрос"
"Страница товара (СТЕ)","Вопросы по базе знаний"
"Раздел «Мои контракты»","Вопросы по базе знаний"
"Профиль компании заказчика","Вопросы по базе знаний"
"Профиль компании поставщика","Вопросы по базе знаний"
"Мои документы","Вопросы по базе знаний"
"Раздел ""Моя корзина""","Вопросы по базе знаний"
"После частичного выполнения обязательств по контракту поставщик осуществил попытку формирования УПД, после чего в система появлялось автоматическое сообщение «Ошибка валидации»","Техническая поддержка"
"Работа с контрактами, Мои контракты","Вопросы по базе знаний"
"При заполнении УПД возникает ошибка в поле ""КОЛИЧЕСТВО""","Техническая поддержка"
"Создание нового документа","Вопросы по базе знаний"
"Редактирование документа","Вопросы по базе знаний"
"Удаление документа","Вопросы по базе знаний"
"Центр поддержки пользователей","Вопросы по базе знаний"
"Главное меню портала (всплывающее)","Вопросы по базе знаний"
"Требования к программному и техническому обеспечению и уровню подготовки пользователя","Вопросы по базе знаний"
"Реестр планов закупок и планов-графиков закупок","Вопросы по базе знаний"
"Поиск планов и планов-графиков закупок","Вопросы по базе знаний"
"Отображение результатов поиска планов и планов-графиков закупок","Вопросы по базе знаний"
"Публичный реестр контрактов","Вопросы по базе знаний"
"Поиск контрактов в реестре","Вопросы по базе знаний"
"Что такое ""Срок действия предложения"" в закупке по потребности?","Вопросы по базе знаний"
"Упрощенная регистрация пользователя","Вопросы по базе знаний"
"Регистрация по электронной подписи","Вопросы по базе знаний"
"Регистрация заказчика","Вопросы по базе знаний"
"Авторизация пользователя","Вопросы по базе знаний"
"Регистрация поставщика","Вопросы по базе знаний"
"Публичная страница контракта","Вопросы по базе знаний"
"Реестр поставщиков","Вопросы по базе знаний"
"Страница поставщика","Вопросы по базе знаний"
"Реестр заказчиков","Вопросы по базе знаний"
"Страница заказчика","Вопросы по базе знаний"
"Регистрация и формирование документов","Вопросы по базе знаний"
"Страница исполнения контракта (Регистрация)","Вопросы по базе знаний"
"Уведомления о наступающих сроках исполнения этапа","Вопросы по базе знаний"
"Импорт сведений об организациях с помощью сервиса","Вопросы по базе знаний"
"Массовый импорт прайс-листа в формате YML в личном кабинете Поставщика","Вопросы по базе знаний"
"Подключение электронной подписи","Вопросы по базе знаний"
"Доработка УПД после отправки по замечаниям и ошибкам","Вопросы по базе знаний"
"Список аккредитованных удостоверяющих центров","Вопросы по базе знаний"
"Заказчик не видит УПД","Техническая поддержка"
"Как пользователю пройти регистрацию на Портале поставщиков в качестве заказчика?","Вопросы по базе знаний"
"Создание котировочных сессий","Вопросы по базе знаний"
"Как найти необходимую потребность на Портале Поставщиков?","Вопросы по базе знаний"
"Поиск СТЕ","Вопросы по базе знаний"
"Как поменять КПГЗ в оферте","Вопросы по базе знаний"
"Как изменить сведения о компании?","Вопросы по базе знаний"
"Как изменить наименование организации на Портале поставщиков?","Вопросы по базе знаний"
"Как изменить контактную информацию организации на Портале поставщиков?","Вопросы по базе знаний"
"Как изменить банковские реквизиты организации на Портале поставщиков?","Вопросы по базе знаний"
"Как добавить банковский счет в банковских реквизитах организации на Портале поставщиков?","Вопросы по базе знаний"
"Как создать нового пользователя ?","Вопросы по базе знаний"
"Как при формировании УПД изменить наименование товара?","Вопросы по базе знаний"
"Как при формировании УПД изменить наименование услуги/ работы?","Вопросы по базе знаний"
"Ошибка: Не указано ни одного счета с отметкой «Счет используется в контрактной системе»","Техническая поддержка"
"Ошибка при обновлении УПД","Техническая поддержка"
"Как на Портале поставщиков пользователю установить параметр «Счет используется в контрактной системе» в банковских реквизитах?","Вопросы по базе знаний"
"Как изменить юридической адрес организации на Портале поставщиков?","Вопросы по базе знаний"
"Как проверить статус заявки на регистрацию/изменение данных компании на Портале поставщиков?","Вопросы по базе знаний"
"Как проверить причину отклонения заявки на регистрацию/изменение данных компании на Портале поставщиков?","Вопросы по базе знаний"
"Заявка на регистрацию/ изменение данных компании на Портале поставщиков находится в статусе «Отправляется» более суток","Техническая поддержка"
"Как найти оферту по номеру?","Вопросы по базе знаний"
"Как выбрать другого поставщика по закупки по потребности, если поставщик отказался от заключения контракта?","Вопросы по базе знаний"
"Что делать, если уже более суток заявка на регистрацию/изменение данных организации на Портале поставщиков находится в статусе «Отправляется»?","Техническая поддержка"
"Как проверить причину отклонения заявки на регистрацию/изменение данных пользователя на Портале поставщиков?","Вопросы по базе знаний"
"Почему на Портале поставщиков не появился контракт из региональной системы","Техническая поддержка"
"Как на Портале поставщиков ознакомиться с карточкой поставщика?","Вопросы по базе знаний"
"Как на Портале поставщиков ознакомиться с профилем заказчика?","Вопросы по базе знаний"
"Почему неактивны поля при заполнении заявки на регистрацию компании на Портале поставщиков?","Техническая поддержка"
"Как на Портале поставщиков ознакомиться с реестром поставщиков?","Вопросы по базе знаний"
"Как на Портале поставщиков ознакомиться с реестром заказчиков?","Вопросы по базе знаний"
"Как пользователю ознакомиться с публичным профилем своей организации?","Вопросы по базе знаний"
"Как на Портале поставщиков ознакомиться с информацией о регионах?","Вопросы по базе знаний"
