"Query","Label"
"Как скопировать оферту?","Вопросы по базе знаний"
"Что такое шаблон стандартной товарной единицы (СТЕ)?","Вопросы по базе знаний"
"Как указать НДС, если мы работаем без НДС","Вопросы по базе знаний"
"Заказчик не видит УПД","Техническая поддержка"
"Как найти потребность на Портале поставщиков?","Вопросы по базе знаний"
"Поиск стандартной товарной единицы (СТЕ)","Вопросы по базе знаний"
"Заявка отклонена с причиной «Предложена другая СТЕ»?","Вопросы по базе знаний"
"Как поменять КПГЗ в оферте?","Вопросы по базе знаний"
"Как изменить сведения о компании?","Вопросы по базе знаний"
"Как изменить наименование организации на Портале поставщиков?","Вопросы по базе знаний"
"Как изменить контактную информацию организации на Портале поставщиков?","Вопросы по базе знаний"
"Как изменить банковские реквизиты организации на Портале поставщиков?","Вопросы по базе знаний"
"Как добавить банковский счет в банковские реквизиты организации на Портале поставщиков?","Вопросы по базе знаний"
"Как создать нового пользователя ?","Вопросы по базе знаний"
"Как перевести УПД в статус редактирования по контракту, имеющему электронное исполнение через оператора ЭДО Калуга Астрал?","Вопросы по базе знаний"
"Как при формировании УПД по контракту, имеющему электронное исполнение через оператора ЭДО Калуга Астрал, изменить наименование товара?","Вопросы по базе знаний"
"Наименование закупочной продукции в исполнении контракта не соответствует наименованию продукции в контракте","Техническая поддержка"
"Ошибка: Не указано ни одного счета с отметкой «Счет используется в контрактной системе»","Техническая поддержка"
"При сохранении спецификации исполнения по контракту малого объема возникает ошибка: Не заполнено поле «Сумма штрафа/пени по исполнению контракта»","Техническая поддержка"
"Как на Портале поставщиков пользователю установить параметр «Счет используется в контрактной системе» в банковских реквизитах?","Вопросы по базе знаний"
"Как изменить адрес организации на Портале поставщиков?","Вопросы по базе знаний"
"Как проверить статус заявки на регистрацию/изменение данных компании на Портале поставщиков?","Вопросы по базе знаний"
"Поиск оферты по номеру","Вопросы по базе знаний"
"Электронное исполнение","Вопросы по базе знаний"
"Руководство пользователя по электронному исполнению контракта","Вопросы по базе знаний"
"Контракт сформирован ошибочно или нарушен процесс обмена данным об УПД между ЕИС и Порталом поставщиков","Техническая поддержка"
"Руководство пользователя для покупателя (ПТК)","Вопросы по базе знаний"
"Как в Исполнении контрактов, электронно актируемых через ЕИС, указать КПП крупнейшем налогоплательщике, и что делать, если у организации 2 и более КПП","Вопросы по базе знаний"
"Что делать по Исполнениям контрактов, электронно актируемых через ЕИС, если контракт сформирован ошибочно или нарушен процесс обмена данным об УПД между ЕИС и Порталом поставщиков","Техническая поддержка"
"Как производителю разместить товар в каталоге предложений?","Вопросы по базе знаний"
"Как создать заявку на СТЕ без ценового предложения?","Вопросы по базе знаний"
"Тестовая статья","Нерелевантный запрос"
"Как создать закупку из корзины?","Вопросы по базе знаний"
"Как обсудить детали по совместной котировочной сессии?","Вопросы по базе знаний"
"Публикация информации о Портале в выбранной социальной сети","Вопросы по базе знаний"
"Как сформировать УПД по товарам с разными номерами таможенной декларации?","Вопросы по базе знаний"
"Что делать , если появляется ошибка ""Операция завершена с ошибкой"" , ""При загрузке характеристик произошла ошибка"" при попытке выбрать вид товара/работы/услуги в создаваемой котировочной сессии на Портале поставщиков?","Техническая поддержка"
"Товары (СТЕ)","Вопросы по базе знаний"
"Просмотр статуса обращения в службу технической поддержки авторизованного пользователя","Вопросы по базе знаний"
"Создание обращения в службу технической поддержки","Вопросы по базе знаний"
"Как указать несколько регионов при создании СТЕ","Вопросы по базе знаний"
"Как сформировать УПД по товарам с разными номерами таможенной декларации?","Вопросы по базе знаний"
"Автоставки","Вопросы по базе знаний"
"Внесение изменений в отправленный, но ещё не подписанный документ исполнения","Вопросы по базе знаний"
"Удаление исполнения по контрактам, исполняющимся электронно через ЕИС","Вопросы по базе знаний"
"Ответ на уведомление об уточнении - создание исправительного УПД в исполнении через ЕИС","Вопросы по базе знаний"
"Заключенный контракт не отображается в личном кабинете поставщика","Техническая поддержка"
"Можно ли изменить номер контракта в карточке контракта?","Вопросы по базе знаний"
"Почему не получается скачать документ контракта/подписанный документ контракта?","Техническая поддержка"
"Карта сайта","Нерелевантный запрос"
"Действия поставщика после отправки приглашения заказчику на установку связи по ЭДО","Вопросы по базе знаний"
"Создание обращения в службу технической поддержки","Вопросы по базе знаний"
"Заказчику не приходит УПД","Техническая поддержка"
"Код КПГЗ в оферте отличается от СТЕ","Техническая поддержка"
"Как направить УПД заказчику повторно","Вопросы по базе знаний"
"Как прикрепить электронную подпись?","Вопросы по базе знаний"
"Как сформировать счет при электронном документообороте","Вопросы по базе знаний"
"Какая электронная подпись используется на Портале поставщиков?","Вопросы по базе знаний"
"Некорректно указана дата заключения контракта","Техническая поддержка"
"Некорректно указана дата окончания периода действия контракта","Техническая поддержка"
"Необходимо ли регистрироваться в ЭДО для исполнения последующих контрактов?","Вопросы по базе знаний"
"Заказчик не зарегистрирован в системе ЭДО","Техническая поддержка"
"Проверить статус обращения в службу технической поддержки","Вопросы по базе знаний"
"Я зарегистрирован в ЭДО?","Техническая поддержка"
"Какие действия нужно совершить заказчику после подтверждения заявки поставщиком на прямую закупку?","Вопросы по базе знаний"
"Кто может являться заказчиком на Портале поставщиков?","Вопросы по базе знаний"
"Изменить предмет контракта у регионального заказчика","Вопросы по базе знаний"
"Создание дополнительного соглашения","Вопросы по базе знаний"
"Отсутствуют электронные подписи сторон в заключенном контракте","Техническая поддержка"
"При заполнении заявки на регистрацию отсутствует поле ""Контактный телефон""","Техническая поддержка"
"Ошибка при вводе контактного телефона","Техническая поддержка"
"Как заполнить раздел «Контактная информация» в профиле компании в случае отсутствия сайта?","Вопросы по базе знаний"
"Как заполнить поле адрес при подаче заявки на регистрацию компании на Портале поставщиков?","Вопросы по базе знаний"
"Как удалить УПД по контракту, электронно исполняемому через оператора ЭДО Калуга Астрал?","Вопросы по базе знаний"
"Как в исполнениях контрактов, электронно актируемых через ГИС ЕИС, заполнить сведения о лекарственном препарате","Вопросы по базе знаний"
"Какие действия необходимо выполнить при запросе 2 xml и ИдТрПакет от службы технической поддержки ГИС ЕИС","Вопросы по базе знаний"
"Как в исполнении контрактов, электронно актируемых через ГИС ЕИС, вернуть УПД в черновик","Вопросы по базе знаний"
"Что делать, если в течение продолжительного времени не отображается страница потребности/происходит загрузка страницы?","Техническая поддержка"
"Как обновить данные из контракта ГИС ЕИС для устранения ошибки РДИК_ИК_0008","Вопросы по базе знаний"
"Как изменить электронную подпись","Вопросы по базе знаний"
"Руководство пользователя для производителя (ПТК)","Вопросы по базе знаний"
"Форма «Выбор ОКОПФ»","Вопросы по базе знаний"
"Форма «Подтверждения перехода к регистрации профиля» для ИП","Вопросы по базе знаний"
"Форма «Выбор действий пользователя физического лица»","Вопросы по базе знаний"
"Присоединится к бюджетной организации","Вопросы по базе знаний"
"Присоединится к ИП","Вопросы по базе знаний"
"Кто является Уполномоченным органом по нашему региону?","Вопросы по базе знаний"
"Некорректно указана дата заключения контракта","Техническая поддержка"
"Что такое оферта?","Вопросы по базе знаний"
"Добавление файла с техническим заданием в карточку котировочной сессии","Вопросы по базе знаний"
"Могут ли отличаться объем/характеристики в спецификации и размещенной документации в котировочной сессии?","Вопросы по базе знаний"
"В каких случаях победа переходит ко второму участнику котировочной сессии?","Вопросы по базе знаний"
"Как осуществляется прямая закупка на Портале поставщиков?","Вопросы по базе знаний"
"Контракт подписан, но в региональной системе не отображен","Техническая поддержка"
"Что делать, если не отображаются подписи в заключенном контракте?","Техническая поддержка"
"Как создать котировочную сессию для региональных заказчиков, работающих напрямую на Портале поставщиков?","Вопросы по базе знаний"
"Какой срок рассмотрения заявок на создание новой позиции СТЕ или внесение изменений в действующую позицию СТЕ?","Вопросы по базе знаний"
"Кто может быть поставщиком на Портале поставщиков?","Вопросы по базе знаний"
"Сколько оферт можно подписать за один раз?","Вопросы по базе знаний"
"Как понять была ли совершена ставка от организации?","Вопросы по базе знаний"
"Почему нет возможности выбора необходимого количества продукции при формировании УПД по контракту, имеющему электронное исполнение через оператора ЭДО Калуга Астрал?","Техническая поддержка"
"Какие оферты отображаются у заказчика, работающего через Портал поставщиков?","Вопросы по базе знаний"
"Почему у заказчика не отображаются оферта по результатам котировочной сессии?","Техническая поддержка"
"Правила заполнения полей статистических кодов ОКТМО и ОКАТО при подаче заявки на регистрацию/изменение данных компании на Портале поставщиков","Вопросы по базе знаний"
"Как распечатать сведения об оферте?","Вопросы по базе знаний"
"Как в УПД по контракту, имеющему электронное исполнение через ГИС ЕИС, заполнить строку 5а?","Вопросы по базе знаний"
"Как обновить сведения о подписантах в Исполнении контрактов, электронно актируемых через ЕИС","Вопросы по базе знаний"
"Требования к рабочему месту пользователя уполномоченного органа","Вопросы по базе знаний"
"Требования к программному и техническому обеспечению и уровню подготовки пользователя","Вопросы по базе знаний"
"Как загрузить МЧД в профиль пользователя?","Вопросы по базе знаний"
"Какого формата должна быть МЧД?","Вопросы по базе знаний"
"Нужно ли прикладывать МЧД при подписании документов физическим лицом?","Вопросы по базе знаний"
"Нужно ли мне прикреплять свою МЧД, если я генеральный директор фирмы и у меня своя ЭП?","Вопросы по базе знаний"
"Нужно ли мне прикреплять свою МЧД, если я индивидуальный предприниматель и у меня своя ЭЦП?","Вопросы по базе знаний"
"Нужно ли при формировании оферты, подписании контракта и УПД прикреплять МЧД?","Вопросы по базе знаний"
"Нужно ли срочно выпускать новую квалифицированную электронную подпись без МЧД?","Вопросы по базе знаний"
"Нужно ли срочно перевыпускать квалифицированную электронную подпись с МЧД, если есть действующая?","Вопросы по базе знаний"
"Что такое МЧД?","Вопросы по базе знаний"
"Новая статья про котировочные сессии 1","Нерелевантный запрос"
"Как добавить фото или изображение в профиль пользователя?","Вопросы по базе знаний"
"Как узнать причину отклонения заявки на новую позицию СТЕ?","Вопросы по базе знаний"
"Регистрация пользователя без электронной подписи","Вопросы по базе знаний"
"Как исправить ошибку РДИК_ИК_0005, если поставщик ИП?","Техническая поддержка"
"тест знания","Нерелевантный запрос"
"тест знания","Нерелевантный запрос"
"Тест","Нерелевантный запрос"
"Не сформировался контракт после подписания оферты по результатам котировочной сессии","Техническая поддержка"
"Как исправить НДС в оферте, созданной по результатам котировочной сессии?","Вопросы по базе знаний"
"Как отправить СТЕ в архив?","Вопросы по базе знаний"
"Что такое СТЕ?","Вопросы по базе знаний"
"Куда обращаться при отклонении СТЕ?","Вопросы по базе знаний"
"Заказчик не видит приглашение по установлению связи в ЭДО","Техническая поддержка"
"Правила проведения котировочной сессии","Вопросы по базе знаний"
"Кто на Портале утверждает заявки на СТЕ?","Вопросы по базе знаний"
"Отказ от заключения контракта","Вопросы по базе знаний"
"Список аккредитованных Удостоверяющих центров","Вопросы по базе знаний"
"У заказчика не отображается оферта, созданная по результатам котировочной сессии","Техническая поддержка"
"Требования к рабочему месту пользователя уполномоченного органа","Вопросы по базе знаний"
"Почему неактивны поля при заполнении заявки?","Техническая поддержка"
"Как указать несколько регионов при создании СТЕ","Вопросы по базе знаний"
"Как на Портале поставщиков можно найти и посмотреть информацию по заказчикам?","Вопросы по базе знаний"
"Наличие связи СТЕ-КТРУ. Актуализация СТЕ при внесении изменений в КТРУ","Вопросы по базе знаний"
"О соответствии условий и наименований","Вопросы по базе знаний"
"О наименовании медицинских изделий","Вопросы по базе знаний"
"Где и как формировать МЧД для сотрудника?","Вопросы по базе знаний"
"удалить этот черновик - нет изменений","Нерелевантный запрос"
"Некорректно указана дата окончания действия контракта","Техническая поддержка"
"Некорректно отображается основание заключения контракта","Техническая поддержка"
"Неверный статус контракта","Техническая поддержка"
"Как изменить наименование оферты?","Вопросы по базе знаний"
"Как подписать оферту?","Вопросы по базе знаний"
"Что должна содержать МЧД?","Вопросы по базе знаний"
"Кто утверждает новую СТЕ или вносит изменения в действующую позицию СТЕ?","Вопросы по базе знаний"
"Поставщик не выходит на связь после победы в котировочной сессии?","Вопросы по базе знаний"
"Как понять объявлена ли ставка участником котировочной сессии?","Вопросы по базе знаний"
"Заказчик не видит приглашение по установке связи в ЭДО","Техническая поддержка"
"Контракт не появился из внешней/региональной информационной системы","Техническая поддержка"
"Как отозвать отправленную на рассмотрение заявку на СТЕ?","Вопросы по базе знаний"
"Как ускорить срок рассмотрения заявки на создание новой позиции СТЕ или внесение изменений в действующую позицию СТЕ?","Вопросы по базе знаний"
"Как отредактировать характеристики в возвращенной на доработку СТЕ?","Вопросы по базе знаний"
"Как изменить характеристики в стандартной товарной единице?","Вопросы по базе знаний"
"Не присвоен оферте реестровый номер","Техническая поддержка"
"Как подать ценовое предложение?","Вопросы по базе знаний"
"Определение победителя и заключение контракта с поставщиком, подавшим предложение в закупке по потребности","Вопросы по базе знаний"
"Статья","Нерелевантный запрос"
"Заявка отклонена с причиной «Предложена другая СТЕ»?","Вопросы по базе знаний"
"Как заполнить наименование","Вопросы по базе знаний"
"Заполнение характеристик СТЕ","Вопросы по базе знаний"
"Удаление оферты","Вопросы по базе знаний"
"Архивирование оферты","Вопросы по базе знаний"
"Регистрация пользователя без электронной подписи","Вопросы по базе знаний"
"Как изменить электронную подпись","Вопросы по базе знаний"
"Как зарегистрироваться на Портале поставщиков?","Вопросы по базе знаний"
"Регистрация пользователя с помощью электронной подписи","Вопросы по базе знаний"
"Регистрация пользователя без электронной подписи","Вопросы по базе знаний"
"При регистрации возникает ошибка ""Этот логин уже используется другим пользователем. Пожалуйста, выберите другой""","Техническая поддержка"
"Как регистрировать филиалы, представительства и иные обособленные подразделения?","Вопросы по базе знаний"
"Как прикрепить или изменить электронную подпись?","Вопросы по базе знаний"
"""При прикреплении электронной подписи возникает ошибка ""Этот сертификат уже используется другим пользователем""","Техническая поддержка"
"При прикреплении электронной подписи возникает ошибка ""Этот сертификат уже используются другим пользователем""","Техническая поддержка"
"Как удалить электронную подпись?","Вопросы по базе знаний"
"Как получить статус производителя?","Вопросы по базе знаний"
"Как проверить подлинность сертификата электронной подписи?","Вопросы по базе знаний"
"Какой пароль вводить при смене электронной подписи?","Вопросы по базе знаний"
"Как произвести настройку плагина КРИПТОПРО?","Вопросы по базе знаний"
"Нужна ли МЧД руководителю, генеральному директору или директору?","Вопросы по базе знаний"
"Как заполнить раздел «Контактная информация» в профиле компании в случае отсутствия сайта?","Вопросы по базе знаний"
"Как заполнить раздел «Статистические коды» при подаче заявки на регистрацию компании?","Вопросы по базе знаний"
"Как заполнить поля с адресом при подаче заявки на регистрацию компании?","Вопросы по базе знаний"
"При заполнении заявки на регистрацию пользователя отсутствует поле Контактный телефон","Техническая поддержка"
"При подаче заявки на регистрацию компании возникает ошибка «Не заполнены поля «Банковский идентификационный код» и «Расчетный счет»","Техническая поддержка"
"Почему рядом с иконкой личного кабинета отображается фраза «Есть ограничения»?","Техническая поддержка"
"Как войти на Портал поставщиков по логину и паролю?","Вопросы по базе знаний"
"Как войти на Портал поставщиков после смены владельца сертификата электронной подписи?","Вопросы по базе знаний"
"Почему появляется капча?","Вопросы по базе знаний"
"Как восстановить доступ к личному кабинету на Портале поставщиков?","Вопросы по базе знаний"
"Не приходит временный пароль","Техническая поддержка"
"Не приходит временный пароль для восстановления доступа к личному кабинету","Техническая поддержка"
"Авторизация на Портале поставщиков с помощью учетной записи на mos.ru","Вопросы по базе знаний"
"При авторизации по электронной подписи возникает ошибка: «Ошибка вычисления подписи»","Техническая поддержка"
"При авторизации по электронной подписи возникает ошибка «Нет установленных сертификатов»","Техническая поддержка"
"При авторизации по электронной подписи возникает ошибка: «Не найден пользователь с указанным сертификатом»","Техническая поддержка"
"При смене электронной почты появляется ошибка ""Этот E-mail уже используется другим пользователем. Пожалуйста, выберите другой""","Техническая поддержка"
"Как войти на Портал поставщиков по электронной подписи?","Вопросы по базе знаний"
"Нужна ли МЧД руководителю, генеральному директору или директору?","Вопросы по базе знаний"
"Нужна ли МЧД директору филиала?","Вопросы по базе знаний"
"Нужна ли МЧД физическому лицу?","Вопросы по базе знаний"
"Нужна ли МЧД индивидуальному предпринимателю?","Вопросы по базе знаний"
"Где и как сформировать МЧД?","Вопросы по базе знаний"
"Как загрузить МЧД в профиль пользователя?","Вопросы по базе знаний"
"Какие полномочия должны быть в МЧД для работы на Портале?","Вопросы по базе знаний"
"При каких действиях на Портале поставщиков требуется МЧД и кому?","Вопросы по базе знаний"
"Что должна содержать МЧД?","Вопросы по базе знаний"
"Какие отличия между сертификатами электронной подписи физического, юридического лица, а также индивидуального предпринимателя?","Вопросы по базе знаний"
"Сроки и основания блокировки на Портале поставщиков","Вопросы по базе знаний"
"Если поставщик заблокирован на Портале поставщиков, будет ли он внесен в реестр недобросовестных поставщиков?","Вопросы по базе знаний"
"Как проверить причину блокировки личного кабинета?","Вопросы по базе знаний"
"Как понять кем произведена блокировка?","Вопросы по базе знаний"
"Может ли поставщик, заблокированный на Портале поставщиков, выполнять ранее возникшие обязательства (подписывать оферты и заключать контракты)?","Вопросы по базе знаний"
"Как обжаловать блокировку на Портале поставщиков?","Вопросы по базе знаний"
"Что делать, если срок блокировки истек, а личный кабинет заблокирован?","Техническая поддержка"
"Как изменить должность пользователя?","Вопросы по базе знаний"
"Как узнать, заблокирован ли поставщик на Портале поставщиков?","Вопросы по базе знаний"
"Как скорректировать ФИО пользователя?","Вопросы по базе знаний"
"Как добавить фото или изображение в профиль пользователя?","Вопросы по базе знаний"
"Как изменить наименование организации на Портале поставщиков?","Вопросы по базе знаний"
"Как изменить контактную информацию организации на Портале поставщиков?","Вопросы по базе знаний"
"Как изменить юридической адрес организации на Портале поставщиков?","Вопросы по базе знаний"
"Как изменить банковские реквизиты организации или добавить новые на Портале поставщиков?","Вопросы по базе знаний"
"Как в банковских реквизитах установить параметр «Счет используется в контрактной системе»?","Вопросы по базе знаний"
"Как изменить сведения о компании?","Вопросы по базе знаний"
"Какие полномочия должны быть у пользователя для подачи заявки на изменение данных?","Вопросы по базе знаний"
"Как объединить профили организации?","Вопросы по базе знаний"
"Как перенести пользователя из одного профиля в другой?","Вопросы по базе знаний"
"При авторизации по электронной подписи появляется ошибка: «Сертификат не зарегистрирован»","Техническая поддержка"
"Авторизация на Портале поставщиков, используя учетную запись на Едином портале торгов Московской области ЕАСУЗ","Вопросы по базе знаний"
"Как изменить электронную почту пользователя?","Вопросы по базе знаний"
"Как сменить пароль?","Вопросы по базе знаний"
"Авторизация на Портале поставщиков через ВТБ коннект","Вопросы по базе знаний"
"Как создать закупку из корзины?","Вопросы по базе знаний"
"Как проверить статус обращения в службу технической поддержки?","Вопросы по базе знаний"
"Как проверить статус обращения, направленного в службу технической поддержки?","Вопросы по базе знаний"
"Как создать нового пользователя?","Вопросы по базе знаний"
"Как предоставить полномочия пользователю?","Вопросы по базе знаний"
"Кто является администратором компании?","Вопросы по базе знаний"
"Как удалить уведомления из личного кабинета?","Вопросы по базе знаний"
"Как отключить уведомления, поступающие в личный кабинет?","Вопросы по базе знаний"
"Как настроить уведомления, чтобы получать приглашения к участию в предстоящих котировочных сессиях и других закупках?","Вопросы по базе знаний"
"Не поступают уведомления в личный кабинет","Техническая поддержка"
"Как посмотреть полный текст уведомления?","Вопросы по базе знаний"
"Что такое котировочная сессия?","Вопросы по базе знаний"
"Кто может принять участие в котировочных сессиях?","Вопросы по базе знаний"
"Могут ли пользователи Портала поставщиков посмотреть данные об участниках котировочной сессии?","Вопросы по базе знаний"
"Кто является победителем котировочной сессии?","Вопросы по базе знаний"
"В каких случаях победа переходит к следующему за победителем участнику котировочной сессии?","Вопросы по базе знаний"
"Какие дальнейшие действия у поставщика после победы в котировочной сессии?","Вопросы по базе знаний"
"Почему победа в котировочной сессии перешла другому участнику?","Вопросы по базе знаний"
"Почему не получается сделать ставку в активной котировочной сессии?","Техническая поддержка"
"Можно ли отменить ставку в активной котировочной сессии?","Вопросы по базе знаний"
"Как включить функциональность «Автоторг»?","Вопросы по базе знаний"
"Почему по окончании котировочной сессии появился другой победитель, если наша ставка лучшая?","Вопросы по базе знаний"
"При подписании оферты возникает ошибка","Техническая поддержка"
"Как подписать массово все оферты по итогам котировочных сессий?","Вопросы по базе знаний"
"Что означает статус в котировочной сессии «Идет обработка ставок. Возможна переторжка»?","Вопросы по базе знаний"
"Почему статус котировочной сессии “Снята с публикации”?","Вопросы по базе знаний"
"Почему статус котировочной сессии изменился на «Не состоялась»?","Вопросы по базе знаний"
"Почему не отображается страница активной котировочной сессии?","Техническая поддержка"
"Почему котировочная сессия продолжается после установленного срока ее окончания?","Техническая поддержка"
"Окончание срока проведения котировочной сессии, подписание оферты и контракта выпадает на выходной день","Вопросы по базе знаний"
"Как понять объявлена ли ставка участником котировочной сессии?","Вопросы по базе знаний"
"Оферты подписаны, но проект контракта не поступил в личный кабинет поставщику. Что делать?","Техническая поддержка"
"Порядок действий участника котировочной сессии в случае победы","Вопросы по базе знаний"
"Последствия неподписания победителем оферты или контракта (договора) по итогам котировочной сессии","Вопросы по базе знаний"
"Как найти котировочную сессию, в которой поставщик принимал участие?","Вопросы по базе знаний"
"Что такое совместная котировочная сессия и чем она удобна?","Вопросы по базе знаний"
"Что такое закупка по потребностям?","Вопросы по базе знаний"
"Как определяется победитель закупки по потребностям?","Вопросы по базе знаний"
"Может ли поставщик отозвать свою оферту в закупке по потребностям?","Вопросы по базе знаний"
"Не получается подать оферту (ценовое предложение) в закупке по потребностям","Техническая поддержка"
"Появляется ошибка при подаче поставщиком предложения в закупке по потребности","Техническая поддержка"
"Не публикуется оферта (ценовое предложение) в закупке по потребности","Техническая поддержка"
"Как найти интересующую закупку по потребностям?","Вопросы по базе знаний"
"Почему при подачи ценового предложения в закупке по потребности перебрасывает на другой сайт?","Техническая поддержка"
"Какую цену необходимо указывать поставщику при подаче ценового предложения в закупке по потребности?","Вопросы по базе знаний"
"Как произвести настройку уведомлений в личном кабинете?","Вопросы по базе знаний"
"Как удалить, заблокировать или разблокировать пользователя на Портале поставщиков?","Вопросы по базе знаний"