,query,label,label_id
0,Заголовок статьи,Нерелевантный запрос,2
1,Подписание контракта после отказа от заключения со стороны заказчика,Вопросы по базе знаний,0
2,Участие в котировочной сессии,Вопросы по базе знаний,0
3,Страница контракта организации,Вопросы по базе знаний,0
4,Определение победителя и заключение контракта с победителем закупки с неизвестным объемом,Вопросы по базе знаний,0
5,Создание и публикация закупки с неизвестным объемом (по цене за единицу продукции),Вопросы по базе знаний,0
6,Настройка MS Word перед работой,Вопросы по базе знаний,0
7,Новая версия опубликованного шаблона,Вопросы по базе знаний,0
8,Утверждение заявки на регистрацию новой организации,Вопросы по базе знаний,0
9,Разблокировка пользователя,Техническая поддержка,1
10,Уведомления о наступающих сроках исполнения этапа,Вопросы по базе знаний,0
11,Как заполнить раздел «Статистические коды» при подаче заявки на регистрацию компании?,Вопросы по базе знаний,0
12,При подаче заявки на регистрацию компании возникает ошибка «Не заполнены поля «Банковский идентификационный код» и «Расчетный счет»,Техническая поддержка,1
13,Уведомление «Есть ограничения»,Техническая поддержка,1
14,Где можно найти виджеты Портала поставщиков?,Вопросы по базе знаний,0
15,Как присоединиться к тематической странице/группе в социальной сети о Портале поставщиков?,Вопросы по базе знаний,0
16,Перевод страницы Портала поставщиков на иностранный язык,Вопросы по базе знаний,0
17,"Как добавить характеристики, если их нет в выпадающем списке",Вопросы по базе знаний,0
18,Отображение оферты,Вопросы по базе знаний,0
19,Удаление оферты,Вопросы по базе знаний,0
20,"Статус оферты ""Ввод сведений""",Вопросы по базе знаний,0
21,Архивирование оферты,Вопросы по базе знаний,0
22,"Ошибка сохранения СТЕ ""Не заполнены обязательные характеристики: ...""",Техническая поддержка,1
23,Как изменить единицу измерения в оферте,Вопросы по базе знаний,0
24,"При создании оферты ошибка ""СТЕ находится в архиве""",Техническая поддержка,1
25,Внесение изменений в оферту,Вопросы по базе знаний,0
26,Как выбрать категорию продукции?,Вопросы по базе знаний,0
27,Как найти заявку СТЕ?,Вопросы по базе знаний,0
28,Отображение оферт по результатам Котировочной сессии в открытом доступе,Вопросы по базе знаний,0
29,Типы характеристик и как их заполнять?,Вопросы по базе знаний,0
30,"Заявка в статусе ""Черновик"", сколько ждать рассмотрения заявки?",Вопросы по базе знаний,0
31,Как на Портале поставщиков пользователю ознакомиться с карточкой поставщика/ карточкой заказчика своей организации?,Вопросы по базе знаний,0
32,Как на Портале поставщиков ознакомиться с информацией по регионам?,Вопросы по базе знаний,0
33,"Оферта в статусе ""Ввод сведений"" после заявки на СТЕ",Вопросы по базе знаний,0
34,"В нашей оферте отображается, что по ней заключены контракты, но у нас контрактов нет",Техническая поддержка,1
35,Действия после отправки заявки на добавление СТЕ,Вопросы по базе знаний,0
36,При каких условиях в оферте возможна прямая закупка?,Вопросы по базе знаний,0
37,Как определяется срок действия оферты?,Вопросы по базе знаний,0
38,Единица измерения СТЕ,Вопросы по базе знаний,0
39,В каком формате загружать прайс-листы?,Вопросы по базе знаний,0
40,Ошибка загрузки файла YML,Техническая поддержка,1
41,Как указать срок доставки в файле YML?,Вопросы по базе знаний,0
42,"""Ошибка формата"" при загрузке прайс-листа",Техническая поддержка,1
43,Требования к изображению в прайс-листе,Вопросы по базе знаний,0
44,"Что такое ""Количественные характеристики""?",Вопросы по базе знаний,0
45,"Что такое ""Качественные характеристики""?",Вопросы по базе знаний,0
46,"Как указать единицу измерения, если её нет в списке?",Вопросы по базе знаний,0
47,Как массово загрузить оферты?,Вопросы по базе знаний,0
48,Способы создания оферт и СТЕ,Вопросы по базе знаний,0
49,"Заявка СТЕ утверждена, оферта отсутствует в ""Управление офертами""",Техническая поддержка,1
50,"Ошибка ""Некорректное наименование файла""",Техническая поддержка,1
51,Нет нужной категории продукции на Портале Поставщиков,Техническая поддержка,1
52,Как поменять КПГЗ в стандартной товарной единице (СТЕ)?,Вопросы по базе знаний,0
53,Как изменить/продлить срок действия оферты?,Вопросы по базе знаний,0
54,Какие полномочия должны быть присвоены пользователю для подачи заявки на изменение данных компании на Портале поставщиков?,Вопросы по базе знаний,0
55,В оферте отображается КПГЗ отличный от СТЕ,Техническая поддержка,1
56,"Не получается редактировать оферту, созданную по результатам котировочной сессии",Техническая поддержка,1
57,"Отсутствует кнопка ""Опубликовать предложение""",Техническая поддержка,1
58,В оферте отсутствует ОКПД2,Техническая поддержка,1
59,Как поменять ОКПД2 в оферте?,Вопросы по базе знаний,0
60,Как скопировать оферту?,Вопросы по базе знаний,0
61,"Нет кнопки ""Прикрепить файл"" в оферте",Техническая поддержка,1
62,Сколько характеристик нужно для СТЕ?,Вопросы по базе знаний,0
63,"Что такое ""Артикул"" в оферте?",Вопросы по базе знаний,0
64,Что такое шаблон СТЕ?,Вопросы по базе знаний,0
65,"Не можем создать оферту, нет кнопки",Техническая поддержка,1
66,Заявка на регистрацию компании/ изменение данных компании находится в статусе «Черновик»,Вопросы по базе знаний,0
67,Заявка на регистрацию компании/ изменение данных компании находится в статусе «Требуется уточнение»,Вопросы по базе знаний,0
68,Заявка на регистрацию регионального заказчика на Портале поставщиков рассматривается более суток,Техническая поддержка,1
69,Единицы измерения при формировании оферты,Вопросы по базе знаний,0
70,"Несколько услуг по одной оферте, комплексная оферта",Вопросы по базе знаний,0
71,"При создании СТЕ отсутствует поле ""Описание""",Техническая поддержка,1
72,"При создании СТЕ в поле ""Регион поставки"" не отображается нужный город/населенный пункт",Техническая поддержка,1
73,"Заявка в статусе ""Редактирование"", сколько ждать рассмотрения заявки",Вопросы по базе знаний,0
74,Как изменить ФЗ (закон-основание) в оферте?,Вопросы по базе знаний,0
75,Где взять артикул,Вопросы по базе знаний,0
76,"Заказчик не видит оферту, созданную по результатам котировочной сессии",Техническая поддержка,1
77,Ошибка при подписании оферты (Ошибка инициализации объекта хэша),Техническая поддержка,1
78,Ошибка при подписания оферты (ошибка вычисления подписи),Техническая поддержка,1
79,"Как указать НДС, если мы работаем без НДС",Вопросы по базе знаний,0
80,Сколько оферт можно подписать за один раз,Вопросы по базе знаний,0
81,Возможно ли массовое подписание оферт на Портале Поставщиков?,Вопросы по базе знаний,0
82,Как вернуть оферту из архива?,Вопросы по базе знаний,0
83,"СТЕ подтверждена, а у оферты номер не появился",Техническая поддержка,1
84,Какое полномочие должно быть присвоено пользователю для работы на Портале поставщиков в качестве Уполномоченного органа ?,Вопросы по базе знаний,0
85,Как пользователю присвоить полномочие «Региональный администратор» для работы на Портале поставщиков в качестве Уполномоченного органа?,Вопросы по базе знаний,0
86,Как присвоить полномочия пользователю компании в профиле Уполномоченного органа?,Вопросы по базе знаний,0
87,Как ознакомиться со статистикой региона профиле Уполномоченного органа?,Вопросы по базе знаний,0
88,Как утвердить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
89,Как отклонить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
90,При отправке заявки на регистрацию компании в роли заказчика на Портале поставщиков возникает ошибка: «ИНН компании на регистрацию не совпадает с ИНН из ЭЦП»,Техническая поддержка,1
91,Как создать карточку новой компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
92,Как создать карточку нового пользователя на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
93,Как заблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
94,Как разблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
95,Как посмотреть историю блокировок компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
96,Как заблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
97,Как разблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
98,Как посмотреть историю блокировок пользователя компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
99,Кто является Уполномоченным органом по нашему региону?,Вопросы по базе знаний,0
100,Кто рассматривает заявки на регистрацию региональных заказчиков на Портале поставщиков?,Вопросы по базе знаний,0
101,Как объединить профили организации?,Вопросы по базе знаний,0
102,Какие существуют требования к поставляем товарам/работам/услугам?,Вопросы по базе знаний,0
103,Как перенести пользователя из одного профиля в другой?,Вопросы по базе знаний,0
104,"Контракт подписан, но в региональной системе его не видно",Техническая поддержка,1
105,Ошибка загрузки файла YML,Техническая поддержка,1
106,"В нашей оферте отображается, что по ней заключены контракты, но у нас контрактов нет",Техническая поддержка,1
107,Расторжение контракта,Вопросы по базе знаний,0
108,"Что значит уведомление ""Права ограничены""?",Техническая поддержка,1
109,Не могу редактировать оферту по КС,Техническая поддержка,1
110,Отображение оферты по результатам котировочной сессии для Заказчика,Вопросы по базе знаний,0
111,Кто может быть поставщиком на Портале поставщиков?,Вопросы по базе знаний,0
112,Как войти на Портал поставщиков после смены владельца сертификата электронной подписи?,Вопросы по базе знаний,0
113,"Что делать московскому заказчику, если в ЕАИСТ котировочная сессия отменена, а на Портале поставщиков активна?",Вопросы по базе знаний,0
114,Не могу скачать документ контракта/не могу скачать документ контракта с подписью,Техническая поддержка,1
115,Как изменить тип компании?,Вопросы по базе знаний,0
116,Как прикрепить электронную подпись?,Вопросы по базе знаний,0
117,Массовое архивирование оферт,Вопросы по базе знаний,0
118,Видео,Нерелевантный запрос,2
119,Личный кабинет компании,Вопросы по базе знаний,0
120,Термины и сокращения,Вопросы по базе знаний,0
121,Вход на главную страницу портала,Вопросы по базе знаний,0
122,Товары и оферты,Вопросы по базе знаний,0
123,Отправлено приглашение Заказчику по установки связи по ЭДО,Вопросы по базе знаний,0
124,Заказчику не приходит УПД,Техническая поддержка,1
125,"Отправлено приглашение Заказчику, ошибка: ""заказчик не в ЭДО""",Техническая поддержка,1
126,Просмотр и выгрузка документов контракта,Вопросы по базе знаний,0
127,Отказ в подписании контракта,Вопросы по базе знаний,0
128,Надо ли регистрироваться в ЭДО на каждом контракте?,Вопросы по базе знаний,0
129,Как сформировать счет при электронном документообороте,Вопросы по базе знаний,0
130,Наименования товара в исполнении контракта не соответствуют наименованиям в котировочной сессии,Техническая поддержка,1
131,Не добавляется исполнение,Техническая поддержка,1
132,"Когда работа Поставщика с контрактом закончена? Cтатус контракта исполнен, документы не подгружены, cвязь с заказчиком отклонена/в процессе",Вопросы по базе знаний,0
133,Заказчик просит выслать УПД повторно,Вопросы по базе знаний,0
134,Карта сайта,Нерелевантный запрос,2
135,Главная страница Портала Поставщиков на других языках,Вопросы по базе знаний,0
136,Страница исполнения контракта (Этап поставки),Вопросы по базе знаний,0
137,Уведомления о наступающих сроках исполнения этапа,Вопросы по базе знаний,0
138,Необходимые действия при сбое в работе Подсистемы,Техническая поддержка,1
139,Несанкционированное вмешательство в Подсистему,Техническая поддержка,1
140,Мои оферты,Вопросы по базе знаний,0
141,Поиск оферт по СТЕ,Вопросы по базе знаний,0
142,Создание оферты,Вопросы по базе знаний,0
143,Обновление прайс-листов,Вопросы по базе знаний,0
144,Формирование протокола разногласий,Вопросы по базе знаний,0
145,Автоматическая блокировка поставщиков. Сроки и основания,Вопросы по базе знаний,0
146,Реестр жалоб поставщика при автоматической блокировке,Вопросы по базе знаний,0
147,Заполнение формы жалобы о необоснованной блокировке,Вопросы по базе знаний,0
148,Просмотр жалобы о необоснованной блокировке,Вопросы по базе знаний,0
149,Регистрация жалобы Арбитражной комиссией,Вопросы по базе знаний,0
150,Запрос дополнительной информации по жалобе о необоснованной блокировке поставщика,Вопросы по базе знаний,0
151,"Проверка записи в реестре недобросовестных поставщиков (подрядчиков, исполнителей)",Вопросы по базе знаний,0
152,Способы формирования YML прайс-листа,Вопросы по базе знаний,0
153,"Основные блоки, которые должен содержать YML прайс-лист",Вопросы по базе знаний,0
154,Пример YML-формата для массовой загрузки прайс-листов,Вопросы по базе знаний,0
155,"Описание типов данных, используемых при определении полей документов",Вопросы по базе знаний,0
156,Вопросы и ответы,Нерелевантный запрос,2
157,Публикация котировочной сессии,Вопросы по базе знаний,0
158,Мои котировочные сессии,Вопросы по базе знаний,0
159,Создание и публикация закупки по потребностям,Вопросы по базе знаний,0
160,Публикация потребности с помощью сервиса интеграционного взаимодействия,Вопросы по базе знаний,0
161,Отмена и удаление закупки по потребности,Вопросы по базе знаний,0
162,Закупка с неизвестным объемом (по цене за единицу продукции),Вопросы по базе знаний,0
163,Настройка MS Word перед работой,Вопросы по базе знаний,0
164,Способы создания оферт и СТЕ,Вопросы по базе знаний,0
165,Публичная страница контракта,Вопросы по базе знаний,0
166,Завершение котировочной сессии,Вопросы по базе знаний,0
167,Подача предложений для опубликованной закупки по потребности,Вопросы по базе знаний,0
168,Удаление поданного предложения,Вопросы по базе знаний,0
169,"Раздел ""Полученные заявки"" на прямую закупку",Вопросы по базе знаний,0
170,Отправка ответа по заявке на прямую закупку,Вопросы по базе знаний,0
171,Страница плана-графика закупок,Вопросы по базе знаний,0
172,Страница плана закупок,Вопросы по базе знаний,0
173,Подключение электронной подписи,Вопросы по базе знаний,0
174,Исполнение контракта,Вопросы по базе знаний,0
175,Расторжение контракта,Вопросы по базе знаний,0
176,Страница оферты,Вопросы по базе знаний,0
177,Регистрация в качестве физического лица,Вопросы по базе знаний,0
178,Участие поставщика в котировочной сессии,Вопросы по базе знаний,0
179,Знакомство с Порталом поставщиков,Вопросы по базе знаний,0
180,Элементы интерфейса и условные обозначения,Вопросы по базе знаний,0
181,История блокировок организации,Вопросы по базе знаний,0
182,Категории и права пользователей,Вопросы по базе знаний,0
183,Разблокировка организации,Техническая поддержка,1
184,Блокировка организации,Техническая поддержка,1
185,Назначение ролей пользователю организации,Вопросы по базе знаний,0
186,История блокировок пользователя,Вопросы по базе знаний,0
187,Блокировка пользователя организации,Техническая поддержка,1
188,Описание общего процесса функционирования портала,Вопросы по базе знаний,0
189,Назначение подсистемы и краткое описание возможностей,Вопросы по базе знаний,0
190,История изменения ролей,Вопросы по базе знаний,0
191,Аварийные ситуации,Техническая поддержка,1
192,Создание обращения в службу технической поддержки,Вопросы по базе знаний,0
193,Создание новой организации,Вопросы по базе знаний,0
194,Панель управления пользователя,Вопросы по базе знаний,0
195,Регистрация Уполномоченного органа на Портала поставщиков,Вопросы по базе знаний,0
196,"Раздел ""Уведомления""",Вопросы по базе знаний,0
197,Центр поддержки пользователей,Вопросы по базе знаний,0
198,Информационный блок «Как стать поставщиком»,Вопросы по базе знаний,0
199,Как найти каталог товаров (СТЕ)?,Вопросы по базе знаний,0
200,Карточки закупок в едином реестре,Вопросы по базе знаний,0
201,Управление рассылками,Вопросы по базе знаний,0
202,Подтверждение уведомления о регистрации исполнения в ЭДО,Вопросы по базе знаний,0
203,Профиль пользователя,Вопросы по базе знаний,0
204,Добавление и блокировка пользователей организации,Вопросы по базе знаний,0
205,Подписание контракта,Вопросы по базе знаний,0
206,Работа с задачами,Вопросы по базе знаний,0
207,Работа с уведомлениями,Вопросы по базе знаний,0
208,Требования к ссылкам и изображениям,Вопросы по базе знаний,0
209,Требования к изображениям,Вопросы по базе знаний,0
210,Требования к YML-файлу и способы формирования YML прайс-листа,Вопросы по базе знаний,0
211,"Структура YML файла, его основные блоки",Вопросы по базе знаний,0
212,Элемент categories,Вопросы по базе знаний,0
213,Элемент offers,Вопросы по базе знаний,0
214,Элемент delivery-options,Вопросы по базе знаний,0
215,Элемент picture,Вопросы по базе знаний,0
216,Элемент param,Вопросы по базе знаний,0
217,XSD-схема для массовой загрузки оферт,Вопросы по базе знаний,0
218,Формирование XSD-схемы,Вопросы по базе знаний,0
219,"Описание типов данных, используемых при определении полей документов",Вопросы по базе знаний,0
220,Справочники Портала поставщиков,Вопросы по базе знаний,0
221,"Состав элемента, входящего в shop",Вопросы по базе знаний,0
222,Элемент currencies,Вопросы по базе знаний,0
223,Загрузка прайс-листа в Портал поставщиков,Вопросы по базе знаний,0
224,Публикация шаблона,Вопросы по базе знаний,0
225,"Редактирование шаблона, удаление шаблона",Вопросы по базе знаний,0
226,Настройка MS Word перед работой,Вопросы по базе знаний,0
227,Поиск шаблонов,Вопросы по базе знаний,0
228,Новая версия опубликованного шаблона,Вопросы по базе знаний,0
229,Отправка шаблона в архив,Вопросы по базе знаний,0
230,Создание нового шаблона,Вопросы по базе знаний,0
231,Поиск шаблонов,Вопросы по базе знаний,0
232,Загрузка документа,Вопросы по базе знаний,0
233,Подготовка шаблона документа,Вопросы по базе знаний,0
234,Подготовка шаблона документа в MS Word,Вопросы по базе знаний,0
235,Загрузка шаблона документа,Вопросы по базе знаний,0
236,Проверка шаблона,Вопросы по базе знаний,0
237,"Ограничения по способам закупок на отдельные виды товаров, работ, услуг",Вопросы по базе знаний,0
238,Публикация закупки от имени Заказчика Уполномоченным органом,Вопросы по базе знаний,0
239,Массовое удаление или отправка в архив оферт,Вопросы по базе знаний,0
240,Прикрепление проекта контракта к одной или нескольким офертам,Вопросы по базе знаний,0
241,Регистрация и формирование документов,Вопросы по базе знаний,0
242,"Проверка записи в реестре недобросовестных поставщиков (подрядчиков, исполнителей)",Вопросы по базе знаний,0
243,Заполнение формы жалобы о необоснованной блокировке,Вопросы по базе знаний,0
244,Получение решения арбитражной комиссии по жалобе,Вопросы по базе знаний,0
245,Страница закупки по потребностям,Вопросы по базе знаний,0
246,Создание и публикация оферты по результатам котировочной сессии,Вопросы по базе знаний,0
247,Создание нового пользователя организации,Вопросы по базе знаний,0
248,Профиль компании,Вопросы по базе знаний,0
249,Заявка на изменение сведений о компании,Вопросы по базе знаний,0
250,"Просмотр и поиск документов в разделе ""Мои документы""",Вопросы по базе знаний,0
251,Каталог товаров (СТЕ),Вопросы по базе знаний,0
252,Предложения,Вопросы по базе знаний,0
253,Создание заявки на прямую закупку,Вопросы по базе знаний,0
254,Выгрузка протокола по потребности,Вопросы по базе знаний,0
255,"Раздел ""Мои заявки""",Вопросы по базе знаний,0
256,В каких случаях право может перейти следующему за победителем участнику котировочной сессии,Вопросы по базе знаний,0
257,Добавление файла с техническим заданием в карточку котировочной сессии,Вопросы по базе знаний,0
258,При формировании или обновлении УПД появляется сообщение об ошибке,Техническая поддержка,1
259,Каталог товаров (СТЕ),Вопросы по базе знаний,0
260,"Раздел ""Моя корзина""",Вопросы по базе знаний,0
261,Регистрация контракта на бумажном носителе,Вопросы по базе знаний,0
262,Определение победителя в котировочной сессии,Вопросы по базе знаний,0
263,Единый реестр закупок,Вопросы по базе знаний,0
264,Поиск закупок в едином реестре,Вопросы по базе знаний,0
265,"Как посмотреть закупки, размещенные на ЕИС?",Вопросы по базе знаний,0
266,Интерактивная карта регионов,Вопросы по базе знаний,0
267,Подписки на закупки,Вопросы по базе знаний,0
268,Карта сайта,Нерелевантный запрос,2
269,Страница товара (СТЕ),Вопросы по базе знаний,0
270,Раздел «Мои контракты»,Вопросы по базе знаний,0
271,Профиль компании заказчика,Вопросы по базе знаний,0
272,Профиль компании поставщика,Вопросы по базе знаний,0
273,Мои документы,Вопросы по базе знаний,0
274,"Раздел ""Моя корзина""",Вопросы по базе знаний,0
275,"После частичного выполнения обязательств по контракту поставщик осуществил попытку формирования УПД, после чего в система появлялось автоматическое сообщение «Ошибка валидации»",Техническая поддержка,1
276,"Работа с контрактами, Мои контракты",Вопросы по базе знаний,0
277,"При заполнении УПД возникает ошибка в поле ""КОЛИЧЕСТВО""",Техническая поддержка,1
278,Создание нового документа,Вопросы по базе знаний,0
279,Редактирование документа,Вопросы по базе знаний,0
280,Удаление документа,Вопросы по базе знаний,0
281,Центр поддержки пользователей,Вопросы по базе знаний,0
282,Главное меню портала (всплывающее),Вопросы по базе знаний,0
283,Требования к программному и техническому обеспечению и уровню подготовки пользователя,Вопросы по базе знаний,0
284,Реестр планов закупок и планов-графиков закупок,Вопросы по базе знаний,0
285,Поиск планов и планов-графиков закупок,Вопросы по базе знаний,0
286,Отображение результатов поиска планов и планов-графиков закупок,Вопросы по базе знаний,0
287,Публичный реестр контрактов,Вопросы по базе знаний,0
288,Поиск контрактов в реестре,Вопросы по базе знаний,0
289,"Что такое ""Срок действия предложения"" в закупке по потребности?",Вопросы по базе знаний,0
290,Упрощенная регистрация пользователя,Вопросы по базе знаний,0
291,Регистрация по электронной подписи,Вопросы по базе знаний,0
292,Регистрация заказчика,Вопросы по базе знаний,0
293,Авторизация пользователя,Вопросы по базе знаний,0
294,Регистрация поставщика,Вопросы по базе знаний,0
295,Публичная страница контракта,Вопросы по базе знаний,0
296,Реестр поставщиков,Вопросы по базе знаний,0
297,Страница поставщика,Вопросы по базе знаний,0
298,Реестр заказчиков,Вопросы по базе знаний,0
299,Страница заказчика,Вопросы по базе знаний,0
300,Регистрация и формирование документов,Вопросы по базе знаний,0
301,Страница исполнения контракта (Регистрация),Вопросы по базе знаний,0
302,Уведомления о наступающих сроках исполнения этапа,Вопросы по базе знаний,0
303,Импорт сведений об организациях с помощью сервиса,Вопросы по базе знаний,0
304,Массовый импорт прайс-листа в формате YML в личном кабинете Поставщика,Вопросы по базе знаний,0
305,Подключение электронной подписи,Вопросы по базе знаний,0
306,Доработка УПД после отправки по замечаниям и ошибкам,Вопросы по базе знаний,0
307,Список аккредитованных удостоверяющих центров,Вопросы по базе знаний,0
308,Заказчик не видит УПД,Техническая поддержка,1
309,Как пользователю пройти регистрацию на Портале поставщиков в качестве заказчика?,Вопросы по базе знаний,0
310,Создание котировочных сессий,Вопросы по базе знаний,0
311,Как найти необходимую потребность на Портале Поставщиков?,Вопросы по базе знаний,0
312,Поиск СТЕ,Вопросы по базе знаний,0
313,Как поменять КПГЗ в оферте,Вопросы по базе знаний,0
314,Как изменить сведения о компании?,Вопросы по базе знаний,0
315,Как изменить наименование организации на Портале поставщиков?,Вопросы по базе знаний,0
316,Как изменить контактную информацию организации на Портале поставщиков?,Вопросы по базе знаний,0
317,Как изменить банковские реквизиты организации на Портале поставщиков?,Вопросы по базе знаний,0
318,Как добавить банковский счет в банковских реквизитах организации на Портале поставщиков?,Вопросы по базе знаний,0
319,Как создать нового пользователя ?,Вопросы по базе знаний,0
320,Как при формировании УПД изменить наименование товара?,Вопросы по базе знаний,0
321,Как при формировании УПД изменить наименование услуги/ работы?,Вопросы по базе знаний,0
322,Ошибка: Не указано ни одного счета с отметкой «Счет используется в контрактной системе»,Техническая поддержка,1
323,Ошибка при обновлении УПД,Техническая поддержка,1
324,Как на Портале поставщиков пользователю установить параметр «Счет используется в контрактной системе» в банковских реквизитах?,Вопросы по базе знаний,0
325,Как изменить юридической адрес организации на Портале поставщиков?,Вопросы по базе знаний,0
326,Как проверить статус заявки на регистрацию/изменение данных компании на Портале поставщиков?,Вопросы по базе знаний,0
327,Как проверить причину отклонения заявки на регистрацию/изменение данных компании на Портале поставщиков?,Вопросы по базе знаний,0
328,Заявка на регистрацию/ изменение данных компании на Портале поставщиков находится в статусе «Отправляется» более суток,Техническая поддержка,1
329,Как найти оферту по номеру?,Вопросы по базе знаний,0
330,"Как выбрать другого поставщика по закупки по потребности, если поставщик отказался от заключения контракта?",Вопросы по базе знаний,0
331,"Что делать, если уже более суток заявка на регистрацию/изменение данных организации на Портале поставщиков находится в статусе «Отправляется»?",Техническая поддержка,1
332,Как проверить причину отклонения заявки на регистрацию/изменение данных пользователя на Портале поставщиков?,Вопросы по базе знаний,0
333,Почему на Портале поставщиков не появился контракт из региональной системы,Техническая поддержка,1
334,Как на Портале поставщиков ознакомиться с карточкой поставщика?,Вопросы по базе знаний,0
335,Как на Портале поставщиков ознакомиться с профилем заказчика?,Вопросы по базе знаний,0
336,Почему неактивны поля при заполнении заявки на регистрацию компании на Портале поставщиков?,Техническая поддержка,1
337,Как на Портале поставщиков ознакомиться с реестром поставщиков?,Вопросы по базе знаний,0
338,Как на Портале поставщиков ознакомиться с реестром заказчиков?,Вопросы по базе знаний,0
339,Как пользователю ознакомиться с публичным профилем своей организации?,Вопросы по базе знаний,0
340,Как на Портале поставщиков ознакомиться с информацией о регионах?,Вопросы по базе знаний,0
